Aba;Endereco;FormulaR1C1;Valor
Analitos;R12;=IF(RC1="","",IF(RC16<>"",RC16,IF(RC11<>"",RC11,IF(AND(RC13<>"",RC14<>""),(IFERROR(INDEX(R4C23:R6C23,MATCH(RC15,R4C21:R6C21,0)),0.375))*SQRT(RC13^2+RC14^2)+1.65*(IFERROR(INDEX(R4C22:R6C22,MATCH(RC15,R4C21:R6C21,0)),0.75))*RC13,""))));30
Analitos;S12;=IF(RC1="","",IF(RC11<>"",RC11/3,""));10
Analitos;T12;=IF(RC1="","",IF(RC13<>"",(IFERROR(INDEX(R4C22:R6C22,MATCH(RC15,R4C21:R6C21,0)),0.75))*RC13,""));
Analitos;Y12;=IF(RC1="","",IF(RC5="","",RC5-3*RC6));72.9582693400832
Analitos;Z12;=IF(RC1="","",IF(RC5="","",RC5+3*RC6));83.4962761144623
Analitos;AA12;=IF(RC25="","",RC5-(RC5-RC25)*1.1);72.4313690013642
Analitos;AB12;=IF(RC26="","",RC5+(RC26-RC5)*1.1);84.0231764531812
Analitos;AC12;=IF(RC1="","",IF(RC7="","",RC7-3*RC8));25.7639654732742
Analitos;AD12;=IF(RC1="","",IF(RC7="","",RC7+3*RC8));29.7814890721804
Analitos;AE12;=IF(RC29="","",RC7-(RC7-RC29)*1.1);25.5630892933288
Analitos;AF12;=IF(RC30="","",RC7+(RC30-RC7)*1.1);29.9823652521257
Analitos;Q13;=IF(RC1="","",IF(RC16<>"","Config",IF(RC11<>"","CLIA",IF(AND(RC13<>"",RC14<>""),"VB","-"))));CLIA
Analitos;R13;=IF(RC1="","",IF(RC16<>"",RC16,IF(RC11<>"",RC11,IF(AND(RC13<>"",RC14<>""),(IFERROR(INDEX(R4C23:R6C23,MATCH(RC15,R4C21:R6C21,0)),0.375))*SQRT(RC13^2+RC14^2)+1.65*(IFERROR(INDEX(R4C22:R6C22,MATCH(RC15,R4C21:R6C21,0)),0.75))*RC13,""))));15
Analitos;S13;=IF(RC1="","",IF(RC11<>"",RC11/3,""));5
Analitos;T13;=IF(RC1="","",IF(RC13<>"",(IFERROR(INDEX(R4C22:R6C22,MATCH(RC15,R4C21:R6C21,0)),0.75))*RC13,""));
Analitos;Y13;=IF(RC1="","",IF(RC5="","",RC5-3*RC6));2.56593352436901
Analitos;Z13;=IF(RC1="","",IF(RC5="","",RC5+3*RC6));2.92952102108554
Analitos;AA13;=IF(RC25="","",RC5-(RC5-RC25)*1.1);2.54775414953318
Analitos;AB13;=IF(RC26="","",RC5+(RC26-RC5)*1.1);2.94770039592137
Analitos;AC13;=IF(RC1="","",IF(RC7="","",RC7-3*RC8));6.01620043938396
Analitos;AD13;=IF(RC1="","",IF(RC7="","",RC7+3*RC8));6.60379956061605
Analitos;AE13;=IF(RC29="","",RC7-(RC7-RC29)*1.1);5.98682048332235
Analitos;AF13;=IF(RC30="","",RC7+(RC30-RC7)*1.1);6.63317951667765
Analitos;Q14;=IF(RC1="","",IF(RC16<>"","Config",IF(RC11<>"","CLIA",IF(AND(RC13<>"",RC14<>""),"VB","-"))));CLIA
Analitos;R14;=IF(RC1="","",IF(RC16<>"",RC16,IF(RC11<>"",RC11,IF(AND(RC13<>"",RC14<>""),(IFERROR(INDEX(R4C23:R6C23,MATCH(RC15,R4C21:R6C21,0)),0.375))*SQRT(RC13^2+RC14^2)+1.65*(IFERROR(INDEX(R4C22:R6C22,MATCH(RC15,R4C21:R6C21,0)),0.75))*RC13,""))));15
Analitos;S14;=IF(RC1="","",IF(RC11<>"",RC11/3,""));5
Analitos;T14;=IF(RC1="","",IF(RC13<>"",(IFERROR(INDEX(R4C22:R6C22,MATCH(RC15,R4C21:R6C21,0)),0.75))*RC13,""));
Analitos;Y14;=IF(RC1="","",IF(RC5="","",RC5-3*RC6));225.128853976389
Analitos;Z14;=IF(RC1="","",IF(RC5="","",RC5+3*RC6));236.416600569066
Analitos;AA14;=IF(RC25="","",RC5-(RC5-RC25)*1.1);224.564466646755
Analitos;AB14;=IF(RC26="","",RC5+(RC26-RC5)*1.1);236.9809878987
Analitos;AC14;=IF(RC1="","",IF(RC7="","",RC7-3*RC8));65.4432014785112
Analitos;AD14;=IF(RC1="","",IF(RC7="","",RC7+3*RC8));72.0113439760343
Analitos;AE14;=IF(RC29="","",RC7-(RC7-RC29)*1.1);65.114794353635
Analitos;AF14;=IF(RC30="","",RC7+(RC30-RC7)*1.1);72.3397511009104
Analitos;Q15;=IF(RC1="","",IF(RC16<>"","Config",IF(RC11<>"","CLIA",IF(AND(RC13<>"",RC14<>""),"VB","-"))));CLIA
Analitos;R15;=IF(RC1="","",IF(RC16<>"",RC16,IF(RC11<>"",RC11,IF(AND(RC13<>"",RC14<>""),(IFERROR(INDEX(R4C23:R6C23,MATCH(RC15,R4C21:R6C21,0)),0.375))*SQRT(RC13^2+RC14^2)+1.65*(IFERROR(INDEX(R4C22:R6C22,MATCH(RC15,R4C21:R6C21,0)),0.75))*RC13,""))));11
Analitos;S15;=IF(RC1="","",IF(RC11<>"",RC11/3,""));3.66666666666667
Analitos;T15;=IF(RC1="","",IF(RC13<>"",(IFERROR(INDEX(R4C22:R6C22,MATCH(RC15,R4C21:R6C21,0)),0.75))*RC13,""));
Analitos;Y15;=IF(RC1="","",IF(RC5="","",RC5-3*RC6));3.37
Analitos;Z15;=IF(RC1="","",IF(RC5="","",RC5+3*RC6));3.85
Analitos;AA15;=IF(RC25="","",RC5-(RC5-RC25)*1.1);3.346
Analitos;AB15;=IF(RC26="","",RC5+(RC26-RC5)*1.1);3.874
Analitos;AC15;=IF(RC1="","",IF(RC7="","",RC7-3*RC8));7.07831785095184
Analitos;AD15;=IF(RC1="","",IF(RC7="","",RC7+3*RC8));7.52168214904816
Analitos;AE15;=IF(RC29="","",RC7-(RC7-RC29)*1.1);7.05614963604702
Analitos;AF15;=IF(RC30="","",RC7+(RC30-RC7)*1.1);7.54385036395298
Analitos;Q16;=IF(RC1="","",IF(RC16<>"","Config",IF(RC11<>"","CLIA",IF(AND(RC13<>"",RC14<>""),"VB","-"))));CLIA
